username,year,month,timelog,month_str
user11,2010,Jan,160,Jan
user1,2010,Feb,160,Feb
user10,2010,Mar,160,Mar
user10,2010,Apr,160,Apr
user11,2010,May,160,May
user1,2010,Jun,160,Jun
user15,2010,Jul,161,Jul
user1,2010,Aug,160,Aug
user1,2010,Sep,160,Sep
user1,2010,Oct,160,Oct
user11,2010,Nov,160,Nov
user4,2010,Dec,161,Dec
user10,2011,Jan,160,Jan
user1,2011,Feb,160,Feb
user1,2011,Mar,160,Mar
user1,2011,Apr,160,Apr
user1,2011,May,160,May
user1,2011,Jun,160,Jun
user1,2011,Jul,160,Jul
user10,2011,Aug,160,Aug
user1,2011,Sep,160,Sep
user1,2011,Oct,160,Oct
user10,2011,Nov,160,Nov
user1,2011,Dec,160,Dec
user1,2012,Jan,160,Jan
user1,2012,Feb,160,Feb
user1,2012,Mar,160,Mar
user38,2012,Apr,161,Apr
user1,2012,May,160,May
user1,2012,Jun,160,Jun
user21,2012,Jul,161,Jul
user4,2012,Aug,161,Aug
user1,2012,Sep,160,Sep
user1,2012,Oct,160,Oct
user1,2012,Nov,160,Nov
user1,2012,Dec,160,Dec
user1,2013,Jan,160,Jan
user1,2013,Feb,160,Feb
user10,2013,Mar,160,Mar
user10,2013,Apr,160,Apr
user1,2013,May,160,May
user1,2013,Jun,160,Jun
user1,2013,Jul,160,Jul
user1,2013,Aug,160,Aug
user11,2013,Sep,160,Sep
user1,2013,Oct,160,Oct
user1,2013,Nov,160,Nov
user10,2013,Dec,161,Dec
user7,2014,Jan,161,Jan
user1,2014,Feb,160,Feb
user1,2014,Mar,160,Mar
user1,2014,Apr,160,Apr
user45,2014,May,161,May
user1,2014,Jun,160,Jun
user1,2014,Jul,160,Jul
user1,2014,Aug,160,Aug
user35,2014,Sep,161,Sep
user1,2014,Oct,160,Oct
user1,2014,Nov,160,Nov
user10,2014,Dec,160,Dec
user21,2015,Jan,161,Jan
user1,2015,Feb,160,Feb
user10,2015,Mar,160,Mar
user1,2015,Apr,160,Apr
user10,2015,May,160,May
user1,2015,Jun,160,Jun
user11,2015,Jul,160,Jul
user10,2015,Aug,160,Aug
user1,2015,Sep,160,Sep
user1,2015,Oct,160,Oct
user1,2015,Nov,160,Nov
user10,2015,Dec,160,Dec
user1,2016,Jan,160,Jan
user1,2016,Feb,160,Feb
user1,2016,Mar,160,Mar
user1,2016,Apr,160,Apr
user10,2016,May,160,May
user11,2016,Jun,160,Jun
user1,2016,Jul,160,Jul
user1,2016,Aug,160,Aug
user10,2016,Sep,160,Sep
user1,2016,Oct,160,Oct
user1,2016,Nov,160,Nov
user1,2016,Dec,160,Dec
user1,2017,Jan,160,Jan
user41,2017,Feb,161,Feb
user10,2017,Mar,160,Mar
user1,2017,Apr,160,Apr
user1,2017,May,160,May
user1,2017,Jun,160,Jun
user10,2017,Jul,160,Jul
user1,2017,Aug,160,Aug
user10,2017,Sep,160,Sep
user11,2017,Oct,160,Oct
user1,2017,Nov,160,Nov
user1,2017,Dec,160,Dec
user32,2018,Jan,161,Jan
user1,2018,Feb,160,Feb
user1,2018,Mar,160,Mar
user1,2018,Apr,160,Apr
user1,2018,May,160,May
user1,2018,Jun,160,Jun
user1,2018,Jul,160,Jul
user1,2018,Aug,160,Aug
user1,2018,Sep,160,Sep
user10,2018,Oct,160,Oct
user11,2018,Nov,160,Nov
user10,2018,Dec,160,Dec
user1,2019,Jan,160,Jan
user50,2019,Feb,161,Feb
user10,2019,Mar,160,Mar
user1,2019,Apr,160,Apr
user1,2019,May,160,May
user1,2019,Jun,160,Jun
user1,2019,Jul,160,Jul
user10,2019,Aug,160,Aug
user1,2019,Sep,160,Sep
user1,2019,Oct,160,Oct
user1,2019,Nov,160,Nov
user1,2019,Dec,160,Dec
user10,2020,Jan,160,Jan
user1,2020,Feb,160,Feb
user1,2020,Mar,160,Mar
user41,2020,Apr,161,Apr
user1,2020,May,160,May
user10,2020,Jun,160,Jun
user10,2020,Jul,160,Jul
user10,2020,Aug,160,Aug
user1,2020,Sep,160,Sep
user1,2020,Oct,160,Oct
user10,2020,Nov,160,Nov
user11,2020,Dec,160,Dec
user1,2021,Jan,160,Jan
user1,2021,Feb,160,Feb
user1,2021,Mar,160,Mar
user1,2021,Apr,160,Apr
user1,2021,May,160,May
user10,2021,Jun,160,Jun
user10,2021,Jul,160,Jul
user1,2021,Aug,160,Aug
user10,2021,Sep,160,Sep
user1,2021,Oct,160,Oct
user11,2021,Nov,160,Nov
user1,2021,Dec,160,Dec
user1,2022,Jan,160,Jan
user1,2022,Feb,160,Feb
user1,2022,Mar,160,Mar
user1,2022,Apr,160,Apr
user1,2022,May,160,May
user1,2022,Jun,160,Jun
user1,2022,Jul,160,Jul
user1,2022,Aug,160,Aug
user1,2022,Sep,160,Sep
user10,2022,Oct,160,Oct
user33,2022,Nov,161,Nov
user11,2022,Dec,160,Dec
user1,2023,Jan,160,Jan
user1,2023,Feb,160,Feb
user1,2023,Mar,160,Mar
user1,2023,Apr,160,Apr
user1,2023,May,160,May
user1,2023,Jun,160,Jun
user1,2023,Jul,160,Jul
user1,2023,Aug,160,Aug
user1,2023,Sep,160,Sep
user1,2023,Oct,160,Oct
user1,2023,Nov,160,Nov
user1,2023,Dec,160,Dec
user1,2024,Jan,160,Jan
user11,2024,Feb,160,Feb
user1,2024,Mar,160,Mar
user1,2024,Apr,160,Apr
user1,2024,May,160,May
user10,2024,Jun,160,Jun
user1,2024,Jul,160,Jul
user1,2024,Aug,160,Aug
user10,2024,Sep,160,Sep
user1,2024,Oct,160,Oct
user1,2024,Nov,160,Nov
user11,2024,Dec,161,Dec
