ds,yhat,projectname
2025-01-01,696.1726889014244,Project Alpha
2025-02-01,694.9745401144028,Project Alpha
2025-03-01,695.3661050796509,Project Alpha
2025-04-01,696.095626115799,Project Alpha
2025-05-01,696.6542688012123,Project Alpha
2025-06-01,696.9689210057259,Project Alpha
2025-07-01,697.1162954568863,Project Alpha
2025-08-01,697.1689041852951,Project Alpha
2025-09-01,697.1889575123787,Project Alpha
2025-10-01,697.1963587403297,Project Alpha
2025-11-01,697.2023097276688,Project Alpha
2025-12-01,697.2021597027779,Project Alpha
2025-01-01,584.7388007044792,Project Beta
2025-02-01,593.1876274645329,Project Beta
2025-03-01,596.3032693862915,Project Beta
2025-04-01,597.5132201313972,Project Beta
2025-05-01,597.9819979071617,Project Beta
2025-06-01,598.17738032341,Project Beta
2025-07-01,598.2692455649376,Project Beta
2025-08-01,598.3169534802437,Project Beta
2025-09-01,598.3420576453209,Project Beta
2025-10-01,598.3567100763321,Project Beta
2025-11-01,598.3649114370346,Project Beta
2025-12-01,598.368762075901,Project Beta
2025-01-01,599.2784380018711,Project Delta
2025-02-01,598.5655197203159,Project Delta
2025-03-01,598.15347635746,Project Delta
2025-04-01,597.9894491434097,Project Delta
2025-05-01,597.942641377449,Project Delta
2025-06-01,597.9364153444767,Project Delta
2025-07-01,597.938915759325,Project Delta
2025-08-01,597.9414161741734,Project Delta
2025-09-01,597.942691385746,Project Delta
2025-10-01,597.9429414272308,Project Delta
2025-11-01,597.942741394043,Project Delta
2025-12-01,597.9429164230824,Project Delta
2025-01-01,586.5941085219383,Project Epsilon
2025-02-01,585.9500016570091,Project Epsilon
2025-03-01,586.747133910656,Project Epsilon
2025-04-01,587.2041597366333,Project Epsilon
2025-05-01,587.4194454550743,Project Epsilon
2025-06-01,587.5029593110085,Project Epsilon
2025-07-01,587.5314640402794,Project Epsilon
2025-08-01,587.5400154590607,Project Epsilon
2025-09-01,587.5435660481453,Project Epsilon
2025-10-01,587.5447662472725,Project Epsilon
2025-11-01,587.5451163053513,Project Epsilon
2025-12-01,587.5457664132118,Project Epsilon
2025-01-01,533.5662605762482,Project Eta
2025-02-01,534.3751947879791,Project Eta
2025-03-01,534.6527408361435,Project Eta
2025-04-01,534.7975648641586,Project Eta
2025-05-01,534.889630138874,Project Eta
2025-06-01,534.942713946104,Project Eta
2025-07-01,534.9700434803963,Project Eta
2025-08-01,534.9827455878258,Project Eta
2025-09-01,534.9886965751648,Project Eta
2025-10-01,534.9901968240738,Project Eta
2025-11-01,534.9901968240738,Project Eta
2025-12-01,534.989946782589,Project Eta
2025-01-01,628.7899593114853,Project Gamma
2025-02-01,631.1509010195732,Project Gamma
2025-03-01,632.4129604101181,Project Gamma
2025-04-01,633.1613345742226,Project Gamma
2025-05-01,633.513593018055,Project Gamma
2025-06-01,633.6582670211792,Project Gamma
