year,month,username,timelog
2016,Jan,Jack,4264
2016,Feb,Charlie,3947
2016,Mar,Bob,4323
2016,Apr,Sam,4168
2016,May,Sam,4378
2016,Jun,Ivy,4256
2016,Jul,Liam,4348
2016,Aug,Eve,4223
2016,Sep,Charlie,4211
2016,Oct,Tara,4253
2016,Nov,Quinn,4029
2016,Dec,Tara,4476
2017,Jan,Kelly,4259
2017,Feb,Quinn,3864
2017,Mar,Bob,4248
2017,Apr,Sam,4347
2017,May,Ivy,4303
2017,Jun,Grace,4056
2017,Jul,Peter,4184
2017,Aug,Rose,4541
2017,Sep,Mia,3967
2017,Oct,Noah,4436
2017,Nov,Noah,4087
2017,Dec,Kelly,4410
2018,Jan,Jack,4420
2018,Feb,Kelly,3937
2018,Mar,Ivy,4359
2018,Apr,Noah,4314
2018,May,Bob,4204
2018,Jun,Liam,4252
2018,Jul,Frank,4720
2018,Aug,Bob,4371
2018,Sep,Ivy,4079
2018,Oct,Peter,4523
2018,Nov,Noah,4276
2018,Dec,Rose,4228
2019,Jan,Frank,4404
2019,Feb,Ivy,4056
2019,Mar,Mia,4286
2019,Apr,Frank,4334
2019,May,Sam,4291
2019,Jun,Kelly,4276
2019,Jul,Rose,4235
2019,Aug,Frank,4112
2019,Sep,Hank,4287
2019,Oct,Rose,4465
2019,Nov,Grace,4353
2019,Dec,Quinn,4468
2020,Jan,Rose,4204
2020,Feb,Tara,4000
2020,Mar,Bob,4260
2020,Apr,Charlie,4054
2020,May,Hank,4452
2020,Jun,Jack,4205
2020,Jul,Sam,4269
2020,Aug,Alice,4267
2020,Sep,Noah,4250
2020,Oct,Diana,4169
2020,Nov,Peter,4107
2020,Dec,Alice,4388
2021,Jan,Kelly,4313
2021,Feb,Rose,4082
2021,Mar,Sam,4459
2021,Apr,Bob,3972
2021,May,Diana,4407
2021,Jun,Rose,4248
2021,Jul,Kelly,4153
2021,Aug,Grace,4283
2021,Sep,Alice,4183
2021,Oct,Olivia,4399
2021,Nov,Sam,4007
2021,Dec,Tara,4376
2022,Jan,Jack,4331
2022,Feb,Kelly,3796
2022,Mar,Sam,4472
2022,Apr,Sam,4212
2022,May,Olivia,4352
2022,Jun,Tara,4204
2022,Jul,Mia,4416
2022,Aug,Hank,4342
2022,Sep,Charlie,4320
2022,Oct,Tara,4426
2022,Nov,Tara,4073
2022,Dec,Sam,4547
2023,Jan,Bob,4352
2023,Feb,Jack,3870
2023,Mar,Hank,4123
2023,Apr,Sam,4119
2023,May,Eve,4417
2023,Jun,Bob,4159
2023,Jul,Rose,4521
2023,Aug,Ivy,4294
2023,Sep,Tara,4105
2023,Oct,Quinn,4133
2023,Nov,Peter,4234
2023,Dec,Ivy,4553
2024,Jan,Rose,4159
2024,Feb,Diana,4008
2024,Mar,Diana,4388
2024,Apr,Frank,4121
2024,May,Liam,4425
2024,Jun,Tara,4281
2024,Jul,Bob,4303
2024,Aug,Kelly,4351
2024,Sep,Bob,4113
2024,Oct,Tara,4106
2024,Nov,Eve,4080
2024,Dec,Sam,4473
