year,month,username,timelog
2020,Jan,user2,4574
2020,Feb,user43,3276
2020,Mar,user27,3828
2020,Apr,user50,3638
2020,May,user17,3749
2020,Jun,user39,3951
2020,Jul,user7,4040
2020,Aug,user24,3607
2020,Sep,user9,3743
2020,Oct,user6,3987
2020,Nov,user38,3839
2020,Dec,user3,3647
2021,Jan,user22,3762
2021,Feb,user3,3300
2021,Mar,user17,3738
2021,Apr,user10,3656
2021,May,user17,3906
2021,Jun,user24,3883
2021,Jul,user2,3797
2021,Aug,user4,3545
2021,Sep,user22,3548
2021,Oct,user45,3459
2021,Nov,user23,3978
2021,Dec,user27,3460
2022,Jan,user3,3907
2022,Feb,user15,3645
2022,Mar,user38,4051
2022,Apr,user2,3420
2022,May,user28,4009
2022,Jun,user32,3624
2022,Jul,user13,4103
2022,Aug,user24,3596
2022,Sep,user26,4074
2022,Oct,user42,3656
2022,Nov,user6,3786
2022,Dec,user22,3841
2023,Jan,user10,3722
2023,Feb,user47,3494
2023,Mar,user2,3910
2023,Apr,user22,3616
2023,May,user17,4043
2023,Jun,user43,3327
2023,Jul,user43,3796
2023,Aug,user18,3377
2023,Sep,user43,3674
2023,Oct,user1,3879
2023,Nov,user29,3584
2023,Dec,user36,3731
2024,Jan,user18,3826
2024,Feb,user10,3447
2024,Mar,user36,3644
2024,Apr,user41,4039
2024,May,user38,3874
2024,Jun,user43,3146
2024,Jul,user37,3649
2024,Aug,user11,4436
2024,Sep,user5,3735
2024,Oct,user48,3978
2024,Nov,user38,3430
2024,Dec,user24,3580
