year,month,username,timelog
2010,Jan,user31,3489
2010,Feb,user31,3716
2010,Mar,user37,3969
2010,Apr,user43,3480
2010,May,user16,3887
2010,Jun,user32,3945
2010,Jul,user31,4197
2010,Aug,user19,3744
2010,Sep,user21,3825
2010,Oct,user32,4280
2010,Nov,user27,3715
2010,Dec,user6,5156
2011,Jan,user47,4230
2011,Feb,user47,4791
2011,Mar,user31,4144
2011,Apr,user38,3750
2011,May,user10,3841
2011,Jun,user38,4407
2011,Jul,user28,3942
2011,Aug,user3,3610
2011,Sep,user10,3806
2011,Oct,user44,3724
2011,Nov,user30,3518
2011,Dec,user17,3705
2012,Jan,user41,4027
2012,Feb,user23,3600
2012,Mar,user41,3605
2012,Apr,user25,3404
2012,May,user29,3722
2012,Jun,user13,4074
2012,Jul,user23,4135
2012,Aug,user33,3864
2012,Sep,user29,4085
2012,Oct,user4,3671
2012,Nov,user7,3941
2012,Dec,user19,4123
2013,Jan,user30,4152
2013,Feb,user18,4021
2013,Mar,user1,4310
2013,Apr,user27,4008
2013,May,user3,3906
2013,Jun,user33,3412
2013,Jul,user4,3683
2013,Aug,user38,3556
2013,Sep,user17,3857
2013,Oct,user23,3864
2013,Nov,user21,3500
2013,Dec,user32,3790
2014,Jan,user38,3910
2014,Feb,user33,3544
2014,Mar,user39,3998
2014,Apr,user27,3735
2014,May,user30,4194
2014,Jun,user5,3536
2014,Jul,user18,3803
2014,Aug,user30,4769
2014,Sep,user17,3700
2014,Oct,user35,4123
2014,Nov,user21,3720
2014,Dec,user41,4232
2015,Jan,user10,3676
2015,Feb,user40,3500
2015,Mar,user2,4075
2015,Apr,user16,3565
2015,May,user27,3427
2015,Jun,user19,3813
2015,Jul,user40,3907
2015,Aug,user20,4022
2015,Sep,user41,4306
2015,Oct,user37,3730
2015,Nov,user12,4693
2015,Dec,user10,3639
2016,Jan,user30,3872
2016,Feb,user8,3746
2016,Mar,user41,3590
2016,Apr,user32,3523
2016,May,user8,3793
2016,Jun,user15,3726
2016,Jul,user13,4054
2016,Aug,user9,4067
2016,Sep,user35,3590
2016,Oct,user44,3546
2016,Nov,user15,3945
2016,Dec,user25,3836
2017,Jan,user40,3616
2017,Feb,user7,3432
2017,Mar,user24,3743
2017,Apr,user5,3620
2017,May,user2,3434
2017,Jun,user28,3891
2017,Jul,user23,3483
2017,Aug,user14,4216
2017,Sep,user50,3565
2017,Oct,user23,3908
2017,Nov,user35,3529
2017,Dec,user6,4018
2018,Jan,user30,3814
2018,Feb,user6,3530
2018,Mar,user46,4588
2018,Apr,user2,3555
2018,May,user15,3961
2018,Jun,user40,3458
2018,Jul,user42,3992
2018,Aug,user50,3939
2018,Sep,user24,3250
2018,Oct,user19,3741
2018,Nov,user42,3587
2018,Dec,user6,3676
2019,Jan,user4,3767
2019,Feb,user19,3523
2019,Mar,user31,3559
2019,Apr,user29,3687
2019,May,user18,3799
2019,Jun,user13,4186
2019,Jul,user18,4139
2019,Aug,user41,3713
2019,Sep,user42,4403
2019,Oct,user43,3500
2019,Nov,user24,3675
2019,Dec,user16,4074
2020,Jan,user2,4574
2020,Feb,user43,3276
2020,Mar,user27,3828
2020,Apr,user50,3638
2020,May,user17,3749
2020,Jun,user39,3951
2020,Jul,user7,4040
2020,Aug,user24,3607
2020,Sep,user9,3743
2020,Oct,user6,3987
2020,Nov,user38,3839
2020,Dec,user3,3647
2021,Jan,user22,3762
2021,Feb,user3,3300
2021,Mar,user17,3738
2021,Apr,user10,3656
2021,May,user17,3906
2021,Jun,user24,3883
2021,Jul,user2,3797
2021,Aug,user4,3545
2021,Sep,user22,3548
2021,Oct,user45,3459
2021,Nov,user23,3978
2021,Dec,user27,3460
2022,Jan,user3,3907
2022,Feb,user15,3645
2022,Mar,user38,4051
2022,Apr,user2,3420
2022,May,user28,4009
2022,Jun,user32,3624
2022,Jul,user13,4103
2022,Aug,user24,3596
2022,Sep,user26,4074
2022,Oct,user42,3656
2022,Nov,user6,3786
2022,Dec,user22,3841
2023,Jan,user10,3722
2023,Feb,user47,3494
2023,Mar,user2,3910
2023,Apr,user22,3616
2023,May,user17,4043
2023,Jun,user43,3327
2023,Jul,user43,3796
2023,Aug,user18,3377
2023,Sep,user43,3674
2023,Oct,user1,3879
2023,Nov,user29,3584
2023,Dec,user36,3731
2024,Jan,user18,3826
2024,Feb,user10,3447
2024,Mar,user36,3644
2024,Apr,user41,4039
2024,May,user38,3874
2024,Jun,user43,3146
2024,Jul,user37,3649
2024,Aug,user11,4436
2024,Sep,user5,3735
2024,Oct,user48,3978
2024,Nov,user38,3430
2024,Dec,user24,3580
