year,month,projectname,timelog
2020,Apr,Project Alpha,13891
2020,Apr,Project Beta,14301
2020,Apr,Project Delta,12488
2020,Apr,Project Epsilon,11703
2020,Apr,Project Eta,11987
2020,Apr,Project Gamma,12849
2020,Apr,Project Iota,10975
2020,Apr,Project Kappa,11915
2020,Apr,Project Theta,12101
2020,Apr,Project Zeta,12556
2020,Aug,Project Alpha,13524
2020,Aug,Project Beta,12666
2020,Aug,Project Delta,14889
2020,Aug,Project Epsilon,13240
2020,Aug,Project Eta,10025
2020,Aug,Project Gamma,14628
2020,Aug,Project Iota,9720
2020,Aug,Project Kappa,14232
2020,Aug,Project Theta,13491
2020,Aug,Project Zeta,11039
2020,Dec,Project Alpha,11190
2020,Dec,Project Beta,12177
2020,Dec,Project Delta,13683
2020,Dec,Project Epsilon,11834
2020,Dec,Project Eta,11624
2020,Dec,Project Gamma,12387
2020,Dec,Project Iota,12256
2020,Dec,Project Kappa,11275
2020,Dec,Project Theta,12532
2020,Dec,Project Zeta,11238
2020,Feb,Project Alpha,12077
2020,Feb,Project Beta,9707
2020,Feb,Project Delta,13238
2020,Feb,Project Epsilon,10434
2020,Feb,Project Eta,11421
2020,Feb,Project Gamma,10953
2020,Feb,Project Iota,11951
2020,Feb,Project Kappa,8681
2020,Feb,Project Theta,11601
2020,Feb,Project Zeta,13306
2020,Jan,Project Alpha,15324
2020,Jan,Project Beta,13120
2020,Jan,Project Delta,11405
2020,Jan,Project Epsilon,13290
2020,Jan,Project Eta,10608
2020,Jan,Project Gamma,12973
2020,Jan,Project Iota,10601
2020,Jan,Project Kappa,12297
2020,Jan,Project Theta,14989
2020,Jan,Project Zeta,13192
2020,Jul,Project Alpha,11454
2020,Jul,Project Beta,11650
2020,Jul,Project Delta,13720
2020,Jul,Project Epsilon,11208
2020,Jul,Project Eta,14612
2020,Jul,Project Gamma,13180
2020,Jul,Project Iota,12794
2020,Jul,Project Kappa,14543
2020,Jul,Project Theta,14312
2020,Jul,Project Zeta,11437
2020,Jun,Project Alpha,13350
2020,Jun,Project Beta,14389
2020,Jun,Project Delta,11603
2020,Jun,Project Epsilon,12207
2020,Jun,Project Eta,13851
2020,Jun,Project Gamma,14042
2020,Jun,Project Iota,10872
2020,Jun,Project Kappa,13997
2020,Jun,Project Theta,10706
2020,Jun,Project Zeta,12200
2020,Mar,Project Alpha,14181
2020,Mar,Project Beta,10830
2020,Mar,Project Delta,12614
2020,Mar,Project Epsilon,12575
2020,Mar,Project Eta,14021
2020,Mar,Project Gamma,13024
2020,Mar,Project Iota,13344
2020,Mar,Project Kappa,14377
2020,Mar,Project Theta,11754
2020,Mar,Project Zeta,11876
2020,May,Project Alpha,14532
2020,May,Project Beta,11916
2020,May,Project Delta,13389
2020,May,Project Epsilon,11841
2020,May,Project Eta,13954
2020,May,Project Gamma,14567
2020,May,Project Iota,12426
2020,May,Project Kappa,12852
2020,May,Project Theta,13661
2020,May,Project Zeta,13056
2020,Nov,Project Alpha,12644
2020,Nov,Project Beta,11798
2020,Nov,Project Delta,9553
2020,Nov,Project Epsilon,12973
2020,Nov,Project Eta,13382
2020,Nov,Project Gamma,10504
2020,Nov,Project Iota,11940
2020,Nov,Project Kappa,10800
2020,Nov,Project Theta,12365
2020,Nov,Project Zeta,13382
2020,Oct,Project Alpha,12292
2020,Oct,Project Beta,13380
2020,Oct,Project Delta,14085
2020,Oct,Project Epsilon,11405
2020,Oct,Project Eta,13772
2020,Oct,Project Gamma,11652
2020,Oct,Project Iota,14955
2020,Oct,Project Kappa,14580
2020,Oct,Project Theta,14479
2020,Oct,Project Zeta,16291
2020,Sep,Project Alpha,13953
2020,Sep,Project Beta,12854
2020,Sep,Project Delta,11631
2020,Sep,Project Epsilon,12043
2020,Sep,Project Eta,13533
2020,Sep,Project Gamma,12697
2020,Sep,Project Iota,12131
2020,Sep,Project Kappa,13105
2020,Sep,Project Theta,12066
2020,Sep,Project Zeta,15024
2021,Apr,Project Alpha,13485
2021,Apr,Project Beta,13521
2021,Apr,Project Delta,10223
2021,Apr,Project Epsilon,11831
2021,Apr,Project Eta,12831
2021,Apr,Project Gamma,11282
2021,Apr,Project Iota,12482
2021,Apr,Project Kappa,14698
2021,Apr,Project Theta,13659
2021,Apr,Project Zeta,11515
2021,Aug,Project Alpha,12217
2021,Aug,Project Beta,14085
2021,Aug,Project Delta,13355
2021,Aug,Project Epsilon,11967
2021,Aug,Project Eta,11473
2021,Aug,Project Gamma,12929
2021,Aug,Project Iota,13030
2021,Aug,Project Kappa,14436
2021,Aug,Project Theta,11942
2021,Aug,Project Zeta,12590
2021,Dec,Project Alpha,16845
2021,Dec,Project Beta,11942
2021,Dec,Project Delta,13783
2021,Dec,Project Epsilon,10801
2021,Dec,Project Eta,9765
2021,Dec,Project Gamma,12367
2021,Dec,Project Iota,8233
2021,Dec,Project Kappa,12326
2021,Dec,Project Theta,11406
2021,Dec,Project Zeta,12879
2021,Feb,Project Alpha,11849
2021,Feb,Project Beta,13047
2021,Feb,Project Delta,11538
2021,Feb,Project Epsilon,9068
2021,Feb,Project Eta,11887
2021,Feb,Project Gamma,13801
2021,Feb,Project Iota,13647
2021,Feb,Project Kappa,13192
2021,Feb,Project Theta,9910
2021,Feb,Project Zeta,14072
2021,Jan,Project Alpha,10757
2021,Jan,Project Beta,13286
2021,Jan,Project Delta,12862
2021,Jan,Project Epsilon,15166
2021,Jan,Project Eta,11484
2021,Jan,Project Gamma,11763
2021,Jan,Project Iota,13511
2021,Jan,Project Kappa,10008
2021,Jan,Project Theta,12928
2021,Jan,Project Zeta,12560
2021,Jul,Project Alpha,13054
2021,Jul,Project Beta,11828
2021,Jul,Project Delta,13869
2021,Jul,Project Epsilon,13141
2021,Jul,Project Eta,15297
2021,Jul,Project Gamma,13714
2021,Jul,Project Iota,13430
2021,Jul,Project Kappa,13608
2021,Jul,Project Theta,10376
2021,Jul,Project Zeta,11894
2021,Jun,Project Alpha,11172
2021,Jun,Project Beta,11572
2021,Jun,Project Delta,13480
2021,Jun,Project Epsilon,12444
2021,Jun,Project Eta,10658
2021,Jun,Project Gamma,13832
2021,Jun,Project Iota,13112
2021,Jun,Project Kappa,12148
2021,Jun,Project Theta,14426
2021,Jun,Project Zeta,11133
2021,Mar,Project Alpha,13330
2021,Mar,Project Beta,13441
2021,Mar,Project Delta,13157
2021,Mar,Project Epsilon,14141
2021,Mar,Project Eta,15478
2021,Mar,Project Gamma,12479
2021,Mar,Project Iota,13459
2021,Mar,Project Kappa,10541
2021,Mar,Project Theta,15285
2021,Mar,Project Zeta,12883
2021,May,Project Alpha,15022
2021,May,Project Beta,13637
2021,May,Project Delta,15228
2021,May,Project Epsilon,10969
2021,May,Project Eta,11087
2021,May,Project Gamma,11434
2021,May,Project Iota,10216
2021,May,Project Kappa,11415
2021,May,Project Theta,14550
2021,May,Project Zeta,12599
2021,Nov,Project Alpha,10248
2021,Nov,Project Beta,14221
2021,Nov,Project Delta,14330
2021,Nov,Project Epsilon,14411
2021,Nov,Project Eta,14456
