username,date,year,month,projectid,projectname,timelog
user1,2020-01-01,2020,1,5,Project Epsilon,189
user2,2020-01-01,2020,1,2,Project Beta,43
user3,2020-01-01,2020,1,7,Project Eta,127
user4,2020-01-01,2020,1,5,Project Epsilon,215
user5,2020-01-01,2020,1,4,Project Delta,58
user8,2020-01-01,2020,1,2,Project Beta,34
user9,2020-01-01,2020,1,10,Project Kappa,192
user11,2020-01-01,2020,1,6,Project Zeta,14
user12,2020-01-01,2020,1,7,Project Eta,26
user15,2020-01-01,2020,1,2,Project Beta,191
user16,2020-01-01,2020,1,5,Project Epsilon,25
user17,2020-01-01,2020,1,7,Project Eta,42
user18,2020-01-01,2020,1,5,Project Epsilon,293
user19,2020-01-01,2020,1,2,Project Beta,49
user20,2020-01-01,2020,1,10,Project Kappa,275
user21,2020-01-01,2020,1,3,Project Gamma,148
user23,2020-01-01,2020,1,8,Project Theta,21
user24,2020-01-01,2020,1,5,Project Epsilon,107
user25,2020-01-01,2020,1,4,Project Delta,78
user26,2020-01-01,2020,1,4,Project Delta,21
user27,2020-01-01,2020,1,1,Project Alpha,175
user28,2020-01-01,2020,1,10,Project Kappa,22
user29,2020-01-01,2020,1,8,Project Theta,51
user31,2020-01-01,2020,1,6,Project Zeta,60
user32,2020-01-01,2020,1,4,Project Delta,18
user33,2020-01-01,2020,1,7,Project Eta,125
user36,2020-01-01,2020,1,2,Project Beta,15
user42,2020-01-01,2020,1,2,Project Beta,242
user45,2020-01-01,2020,1,9,Project Iota,315
user47,2020-01-01,2020,1,7,Project Eta,72
user48,2020-01-01,2020,1,2,Project Beta,251
user49,2020-01-01,2020,1,6,Project Zeta,42
user50,2020-01-01,2020,1,7,Project Eta,14
user1,2020-01-02,2020,1,4,Project Delta,234
user2,2020-01-02,2020,1,8,Project Theta,17
user3,2020-01-02,2020,1,7,Project Eta,212
user4,2020-01-02,2020,1,2,Project Beta,215
user9,2020-01-02,2020,1,6,Project Zeta,59
user10,2020-01-02,2020,1,10,Project Kappa,15
user11,2020-01-02,2020,1,5,Project Epsilon,20
user12,2020-01-02,2020,1,4,Project Delta,169
user13,2020-01-02,2020,1,4,Project Delta,28
user15,2020-01-02,2020,1,3,Project Gamma,288
user17,2020-01-02,2020,1,2,Project Beta,137
user19,2020-01-02,2020,1,8,Project Theta,108
user20,2020-01-02,2020,1,1,Project Alpha,69
user21,2020-01-02,2020,1,1,Project Alpha,42
user22,2020-01-02,2020,1,5,Project Epsilon,176
user23,2020-01-02,2020,1,5,Project Epsilon,261
user25,2020-01-02,2020,1,3,Project Gamma,12
user26,2020-01-02,2020,1,5,Project Epsilon,126
user28,2020-01-02,2020,1,5,Project Epsilon,34
user29,2020-01-02,2020,1,9,Project Iota,51
user31,2020-01-02,2020,1,2,Project Beta,74
user32,2020-01-02,2020,1,10,Project Kappa,269
user33,2020-01-02,2020,1,6,Project Zeta,100
user34,2020-01-02,2020,1,1,Project Alpha,182
user36,2020-01-02,2020,1,9,Project Iota,15
user37,2020-01-02,2020,1,10,Project Kappa,140
user38,2020-01-02,2020,1,2,Project Beta,206
user41,2020-01-02,2020,1,5,Project Epsilon,292
user42,2020-01-02,2020,1,9,Project Iota,276
user44,2020-01-02,2020,1,2,Project Beta,74
user45,2020-01-02,2020,1,4,Project Delta,82
user46,2020-01-02,2020,1,2,Project Beta,230
user47,2020-01-02,2020,1,5,Project Epsilon,53
user49,2020-01-02,2020,1,8,Project Theta,104
user50,2020-01-02,2020,1,1,Project Alpha,178
user1,2020-01-03,2020,1,3,Project Gamma,83
user3,2020-01-03,2020,1,8,Project Theta,12
user4,2020-01-03,2020,1,8,Project Theta,163
user5,2020-01-03,2020,1,8,Project Theta,234
user8,2020-01-03,2020,1,1,Project Alpha,54
user9,2020-01-03,2020,1,6,Project Zeta,231
user10,2020-01-03,2020,1,1,Project Alpha,94
user12,2020-01-03,2020,1,10,Project Kappa,93
user13,2020-01-03,2020,1,4,Project Delta,67
user15,2020-01-03,2020,1,8,Project Theta,13
user17,2020-01-03,2020,1,7,Project Eta,286
user18,2020-01-03,2020,1,4,Project Delta,26
user20,2020-01-03,2020,1,10,Project Kappa,87
user21,2020-01-03,2020,1,8,Project Theta,212
user23,2020-01-03,2020,1,9,Project Iota,195
user24,2020-01-03,2020,1,4,Project Delta,82
user26,2020-01-03,2020,1,8,Project Theta,271
user27,2020-01-03,2020,1,6,Project Zeta,23
user30,2020-01-03,2020,1,5,Project Epsilon,19
user31,2020-01-03,2020,1,8,Project Theta,167
user34,2020-01-03,2020,1,7,Project Eta,175
user35,2020-01-03,2020,1,7,Project Eta,176
user36,2020-01-03,2020,1,1,Project Alpha,108
user38,2020-01-03,2020,1,8,Project Theta,235
user39,2020-01-03,2020,1,7,Project Eta,87
user40,2020-01-03,2020,1,10,Project Kappa,181
user41,2020-01-03,2020,1,10,Project Kappa,49
user42,2020-01-03,2020,1,9,Project Iota,35
user43,2020-01-03,2020,1,5,Project Epsilon,24
user44,2020-01-03,2020,1,6,Project Zeta,29
user45,2020-01-03,2020,1,6,Project Zeta,73
user46,2020-01-03,2020,1,6,Project Zeta,43
user47,2020-01-03,2020,1,8,Project Theta,105
user48,2020-01-03,2020,1,8,Project Theta,37
user49,2020-01-03,2020,1,7,Project Eta,317
user50,2020-01-03,2020,1,10,Project Kappa,310
user1,2020-01-04,2020,1,1,Project Alpha,71
user3,2020-01-04,2020,1,9,Project Iota,21
user4,2020-01-04,2020,1,10,Project Kappa,24
user5,2020-01-04,2020,1,7,Project Eta,53
user6,2020-01-04,2020,1,4,Project Delta,201
user7,2020-01-04,2020,1,10,Project Kappa,83
user8,2020-01-04,2020,1,8,Project Theta,110
user9,2020-01-04,2020,1,3,Project Gamma,95
user12,2020-01-04,2020,1,4,Project Delta,284
user14,2020-01-04,2020,1,7,Project Eta,51
user15,2020-01-04,2020,1,7,Project Eta,53
user17,2020-01-04,2020,1,8,Project Theta,276
user18,2020-01-04,2020,1,9,Project Iota,34
user19,2020-01-04,2020,1,6,Project Zeta,183
user20,2020-01-04,2020,1,9,Project Iota,155
user21,2020-01-04,2020,1,9,Project Iota,75
user22,2020-01-04,2020,1,5,Project Epsilon,81
user23,2020-01-04,2020,1,5,Project Epsilon,132
user24,2020-01-04,2020,1,8,Project Theta,162
user27,2020-01-04,2020,1,9,Project Iota,158
user28,2020-01-04,2020,1,4,Project Delta,101
user29,2020-01-04,2020,1,6,Project Zeta,22
user30,2020-01-04,2020,1,9,Project Iota,237
user34,2020-01-04,2020,1,7,Project Eta,227
user36,2020-01-04,2020,1,6,Project Zeta,115
user38,2020-01-04,2020,1,10,Project Kappa,42
user39,2020-01-04,2020,1,6,Project Zeta,240
user40,2020-01-04,2020,1,10,Project Kappa,242
user41,2020-01-04,2020,1,1,Project Alpha,47
user43,2020-01-04,2020,1,7,Project Eta,135
user46,2020-01-04,2020,1,10,Project Kappa,226
user48,2020-01-04,2020,1,2,Project Beta,108
user50,2020-01-04,2020,1,10,Project Kappa,152
user3,2020-01-05,2020,1,10,Project Kappa,37
user5,2020-01-05,2020,1,6,Project Zeta,160
user7,2020-01-05,2020,1,7,Project Eta,88
user8,2020-01-05,2020,1,7,Project Eta,11
user9,2020-01-05,2020,1,5,Project Epsilon,204
user10,2020-01-05,2020,1,10,Project Kappa,44
user11,2020-01-05,2020,1,10,Project Kappa,13
user12,2020-01-05,2020,1,4,Project Delta,61
user13,2020-01-05,2020,1,4,Project Delta,30
user16,2020-01-05,2020,1,2,Project Beta,27
user18,2020-01-05,2020,1,10,Project Kappa,286
user19,2020-01-05,2020,1,8,Project Theta,109
user20,2020-01-05,2020,1,10,Project Kappa,31
user22,2020-01-05,2020,1,3,Project Gamma,180
user24,2020-01-05,2020,1,8,Project Theta,74
user25,2020-01-05,2020,1,6,Project Zeta,67
user26,2020-01-05,2020,1,7,Project Eta,111
user27,2020-01-05,2020,1,7,Project Eta,282
user29,2020-01-05,2020,1,3,Project Gamma,88
user34,2020-01-05,2020,1,3,Project Gamma,81
user35,2020-01-05,2020,1,6,Project Zeta,76
user37,2020-01-05,2020,1,2,Project Beta,78
user38,2020-01-05,2020,1,2,Project Beta,18
user39,2020-01-05,2020,1,3,Project Gamma,177
user40,2020-01-05,2020,1,6,Project Zeta,33
user41,2020-01-05,2020,1,8,Project Theta,221
user42,2020-01-05,2020,1,1,Project Alpha,265
user43,2020-01-05,2020,1,4,Project Delta,44
user44,2020-01-05,2020,1,6,Project Zeta,32
user45,2020-01-05,2020,1,4,Project Delta,140
user46,2020-01-05,2020,1,7,Project Eta,114
user48,2020-01-05,2020,1,4,Project Delta,242
user49,2020-01-05,2020,1,6,Project Zeta,226
user50,2020-01-05,2020,1,2,Project Beta,18
user1,2020-01-06,2020,1,1,Project Alpha,32
user3,2020-01-06,2020,1,10,Project Kappa,28
user4,2020-01-06,2020,1,3,Project Gamma,322
user5,2020-01-06,2020,1,6,Project Zeta,315
user6,2020-01-06,2020,1,2,Project Beta,82
user9,2020-01-06,2020,1,8,Project Theta,175
user10,2020-01-06,2020,1,5,Project Epsilon,252
user11,2020-01-06,2020,1,8,Project Theta,34
user12,2020-01-06,2020,1,10,Project Kappa,70
user13,2020-01-06,2020,1,4,Project Delta,33
user15,2020-01-06,2020,1,9,Project Iota,222
user16,2020-01-06,2020,1,4,Project Delta,353
user19,2020-01-06,2020,1,8,Project Theta,79
user20,2020-01-06,2020,1,3,Project Gamma,71
user21,2020-01-06,2020,1,4,Project Delta,46
user22,2020-01-06,2020,1,6,Project Zeta,102
user24,2020-01-06,2020,1,5,Project Epsilon,344
user25,2020-01-06,2020,1,1,Project Alpha,28
user27,2020-01-06,2020,1,7,Project Eta,273
user28,2020-01-06,2020,1,8,Project Theta,126
user29,2020-01-06,2020,1,4,Project Delta,80
user30,2020-01-06,2020,1,2,Project Beta,28
user32,2020-01-06,2020,1,8,Project Theta,145
user33,2020-01-06,2020,1,2,Project Beta,118
user34,2020-01-06,2020,1,6,Project Zeta,91
user35,2020-01-06,2020,1,7,Project Eta,242
user37,2020-01-06,2020,1,3,Project Gamma,77
user38,2020-01-06,2020,1,10,Project Kappa,43
user39,2020-01-06,2020,1,8,Project Theta,164
user40,2020-01-06,2020,1,7,Project Eta,267
user41,2020-01-06,2020,1,5,Project Epsilon,317
user42,2020-01-06,2020,1,3,Project Gamma,109
user43,2020-01-06,2020,1,5,Project Epsilon,347
user45,2020-01-06,2020,1,2,Project Beta,273
user46,2020-01-06,2020,1,5,Project Epsilon,249
user47,2020-01-06,2020,1,8,Project Theta,20
user48,2020-01-06,2020,1,8,Project Theta,107
user49,2020-01-06,2020,1,3,Project Gamma,31
user2,2020-01-07,2020,1,10,Project Kappa,126
user3,2020-01-07,2020,1,4,Project Delta,133
user4,2020-01-07,2020,1,1,Project Alpha,33
user5,2020-01-07,2020,1,10,Project Kappa,326
user6,2020-01-07,2020,1,4,Project Delta,38
user10,2020-01-07,2020,1,1,Project Alpha,289
user13,2020-01-07,2020,1,8,Project Theta,71
user16,2020-01-07,2020,1,2,Project Beta,120
user17,2020-01-07,2020,1,7,Project Eta,170
user20,2020-01-07,2020,1,2,Project Beta,41
