username,year,month,timelog,month_str
user49,2020,Jan,3821,Jan
user35,2020,Feb,3474,Feb
user16,2020,Mar,3684,Mar
user47,2020,Apr,3716,Apr
user11,2020,May,3916,May
user48,2020,Jun,3579,Jun
user1,2020,Jul,4044,Jul
user46,2020,Aug,3722,Aug
user48,2020,Sep,3705,Sep
user21,2020,Oct,3975,Oct
user6,2020,Nov,3711,Nov
user10,2020,Dec,3844,Dec
user41,2021,Jan,3762,Jan
user7,2021,Feb,3235,Feb
user39,2021,Mar,3966,Mar
user17,2021,Apr,3798,Apr
user16,2021,May,3527,May
user38,2021,Jun,3793,Jun
user33,2021,Jul,3809,Jul
user34,2021,Aug,3522,Aug
user16,2021,Sep,3957,Sep
user32,2021,Oct,3682,Oct
user44,2021,Nov,3917,Nov
user25,2021,Dec,3835,Dec
user4,2022,Jan,3936,Jan
user42,2022,Feb,3560,Feb
user6,2022,Mar,3572,Mar
user24,2022,Apr,3197,Apr
user28,2022,May,3467,May
user13,2022,Jun,4035,Jun
user38,2022,Jul,3840,Jul
user30,2022,Aug,3714,Aug
user10,2022,Sep,3953,Sep
user8,2022,Oct,3803,Oct
user7,2022,Nov,3582,Nov
user29,2022,Dec,3636,Dec
user39,2023,Jan,3505,Jan
user6,2023,Feb,3392,Feb
user40,2023,Mar,3693,Mar
user22,2023,Apr,3487,Apr
user12,2023,May,3496,May
user24,2023,Jun,3736,Jun
user8,2023,Jul,3732,Jul
user15,2023,Aug,3485,Aug
user6,2023,Sep,3566,Sep
user12,2023,Oct,3726,Oct
user50,2023,Nov,3982,Nov
user12,2023,Dec,4454,Dec
user4,2024,Jan,3943,Jan
user14,2024,Feb,2925,Feb
user5,2024,Mar,3431,Mar
user15,2024,Apr,3517,Apr
user11,2024,May,4146,May
user32,2024,Jun,3081,Jun
user5,2024,Jul,3730,Jul
user18,2024,Aug,4314,Aug
user50,2024,Sep,3545,Sep
user27,2024,Oct,3696,Oct
user23,2024,Nov,3921,Nov
user16,2024,Dec,3877,Dec
