ds,yhat,username,month,year
2025-01-01,157.41383372175554,user44,Jan,2025
2025-02-01,166.6226230258855,user15,Feb,2025
2025-03-01,159.34107989986015,user47,Mar,2025
2025-04-01,173.43478812114662,user28,Apr,2025
2025-05-01,162.1777446879438,user2,May,2025
2025-06-01,160.03332250250605,user28,Jun,2025
2025-07-01,163.00034864938868,user44,Jul,2025
2025-08-01,160.66107189505715,user28,Aug,2025
2025-09-01,156.56892731687856,user15,Sep,2025
2025-10-01,168.85688894387917,user30,Oct,2025
2025-11-01,161.63868076320034,user15,Nov,2025
2025-12-01,157.1469382737257,user30,Dec,2025
