ds,yhat,projectname
2025-01-01,445.1078135606523,Project Alpha
2025-02-01,545.2019361650575,Project Alpha
2025-03-01,475.8446467702548,Project Alpha
2025-04-01,547.437055502756,Project Alpha
2025-05-01,490.96151059695995,Project Alpha
2025-06-01,461.32262558009364,Project Alpha
2025-07-01,574.3429439488556,Project Alpha
2025-08-01,544.10739297468,Project Alpha
2025-09-01,452.77105312576595,Project Alpha
2025-10-01,510.63650200740847,Project Alpha
2025-11-01,409.4945162903561,Project Alpha
2025-12-01,467.3579294704307,Project Alpha
2025-01-01,566.53023792746,Project Beta
2025-02-01,517.4757054726921,Project Beta
2025-03-01,573.445088384925,Project Beta
2025-04-01,586.7424647921532,Project Beta
2025-05-01,530.6048467464387,Project Beta
2025-06-01,561.1010053730386,Project Beta
2025-07-01,527.6520273786231,Project Beta
2025-08-01,516.0569410561778,Project Beta
2025-09-01,537.1415901614758,Project Beta
2025-10-01,549.1156243103702,Project Beta
2025-11-01,536.1708685795727,Project Beta
2025-12-01,535.4182639619199,Project Beta
2025-01-01,610.0451950493115,Project Delta
2025-02-01,533.3258609470474,Project Delta
2025-03-01,434.3211733086853,Project Delta
2025-04-01,562.7583419481011,Project Delta
2025-05-01,511.5118550853173,Project Delta
2025-06-01,542.9023862515637,Project Delta
2025-07-01,575.5742922983235,Project Delta
2025-08-01,529.1720642609412,Project Delta
2025-09-01,494.3035630425171,Project Delta
2025-10-01,582.0999544488708,Project Delta
2025-11-01,519.5242349001842,Project Delta
2025-12-01,592.4657621151887,Project Delta
2025-01-01,491.31598504279395,Project Epsilon
2025-02-01,492.6376426756066,Project Epsilon
2025-03-01,497.4432447983828,Project Epsilon
2025-04-01,473.8864725333839,Project Epsilon
2025-05-01,472.5185841725857,Project Epsilon
2025-06-01,531.1172624141082,Project Epsilon
2025-07-01,514.4837536265259,Project Epsilon
2025-08-01,504.0036046339853,Project Epsilon
2025-09-01,516.8383890480168,Project Epsilon
2025-10-01,531.745645030163,Project Epsilon
2025-11-01,500.8520291259351,Project Epsilon
2025-12-01,425.1717832931085,Project Epsilon
2025-01-01,639.112754637386,Project Eta
2025-02-01,520.9915862743316,Project Eta
2025-03-01,584.1704990858593,Project Eta
2025-04-01,591.210632194037,Project Eta
2025-05-01,487.3630764174605,Project Eta
2025-06-01,535.6085180205287,Project Eta
2025-07-01,657.3504047881685,Project Eta
2025-08-01,685.4021187492424,Project Eta
2025-09-01,582.3896390930283,Project Eta
2025-10-01,567.4200431196449,Project Eta
2025-11-01,665.2488688413587,Project Eta
2025-12-01,660.5886284695853,Project Eta
2025-01-01,466.01686067616225,Project Gamma
2025-02-01,461.95857433796533,Project Gamma
2025-03-01,441.77010519642556,Project Gamma
2025-04-01,543.9188368472193,Project Gamma
2025-05-01,579.227427870681,Project Gamma
2025-06-01,472.109442832842,Project Gamma
2025-07-01,452.5006458141036,Project Gamma
2025-08-01,562.619806673671,Project Gamma
2025-09-01,439.6113091102068,Project Gamma
2025-10-01,464.19832492993976,Project Gamma
2025-11-01,477.5364937771716,Project Gamma
2025-12-01,459.9889275603901,Project Gamma
2025-01-01,580.020637312166,Project Iota
2025-02-01,590.4952105819582,Project Iota
2025-03-01,481.59718235739206,Project Iota
2025-04-01,550.8340672622063,Project Iota
2025-05-01,612.0976132357326,Project Iota
2025-06-01,631.4491821744792,Project Iota
2025-07-01,566.2844648277838,Project Iota
2025-08-01,636.2031884028645,Project Iota
2025-09-01,675.5963994885057,Project Iota
2025-10-01,571.5658765717181,Project Iota
2025-11-01,531.3734316959515,Project Iota
2025-12-01,622.6387105014487,Project Iota
2025-01-01,490.4728760501844,Project Kappa
2025-02-01,573.9896178990122,Project Kappa
2025-03-01,570.8596930539312,Project Kappa
2025-04-01,430.93252457139386,Project Kappa
2025-05-01,568.4070824565056,Project Kappa
2025-06-01,446.6616417431691,Project Kappa
2025-07-01,445.88948050824126,Project Kappa
2025-08-01,570.1257363041485,Project Kappa
2025-09-01,549.0269506806023,Project Kappa
2025-10-01,637.7577035299827,Project Kappa
2025-11-01,496.2691918727117,Project Kappa
2025-12-01,526.9934580185402,Project Kappa
2025-01-01,528.8919621083592,Project Theta
2025-02-01,629.1827081771733,Project Theta
2025-03-01,484.16166696384187,Project Theta
2025-04-01,568.7984956039082,Project Theta
2025-05-01,582.0025283377691,Project Theta
2025-06-01,485.930777020285,Project Theta
2025-07-01,516.8189269369145,Project Theta
2025-08-01,537.2848907646907,Project Theta
2025-09-01,469.96380103558755,Project Theta
2025-10-01,603.5707154842012,Project Theta
2025-11-01,559.0067927587777,Project Theta
2025-12-01,468.2906581633017,Project Theta
2025-01-01,543.4707261114742,Project Zeta
2025-02-01,569.5036184548222,Project Zeta
2025-03-01,575.9622804980837,Project Zeta
2025-04-01,471.33108470801153,Project Zeta
2025-05-01,565.8197131228428,Project Zeta
2025-06-01,486.53960752407073,Project Zeta
2025-07-01,623.8368491912626,Project Zeta
2025-08-01,499.6307905170143,Project Zeta
2025-09-01,482.2126363018821,Project Zeta
2025-10-01,495.3408748244858,Project Zeta
2025-11-01,539.8157354816117,Project Zeta
2025-12-01,535.2863630721207,Project Zeta
