ds,yhat,username,month,year
2025-01-01,156.83864576177265,user10,Jan,2025
2025-02-01,167.85782360185524,user15,Feb,2025
2025-03-01,163.4469660442388,user47,Mar,2025
2025-04-01,174.68397606646616,user28,Apr,2025
2025-05-01,160.2450014600364,user2,May,2025
2025-06-01,161.93193131650816,user28,Jun,2025
2025-07-01,157.26868676092803,user10,Jul,2025
2025-08-01,162.58598260594925,user28,Aug,2025
2025-09-01,156.7732703393076,user15,Sep,2025
2025-10-01,166.15833462172083,user30,Oct,2025
2025-11-01,164.10235155754108,user15,Nov,2025
2025-12-01,157.31198696431983,user28,Dec,2025
